,vix,spx
1992-01-06,18.96,1787.5999755859375
1992-01-07,19.23,1778.699951171875
1992-01-08,18.72,1785.5999755859375
1992-01-09,18.96,1833.9000244140625
1992-01-10,18.45,1837.4000244140625
1992-01-13,18.01,1824.300048828125
1992-01-14,17.01,1843.800048828125
1992-01-15,17.39,1873.5999755859375
1992-01-16,17.64,1860.199951171875
1992-01-17,16.32,1860.199951171875
1992-01-20,16.42,1865.9000244140625
1992-01-21,17.92,1867.9000244140625
1992-01-22,16.75,1841.300048828125
1992-01-23,16.46,1838.699951171875
1992-01-24,16.24,1849.9000244140625
1992-01-27,16.67,1869.300048828125
1992-01-28,17.67,1890.5999755859375
1992-01-29,17.62,1879.5999755859375
1992-01-30,17.49,1873.9000244140625
1992-01-31,17.4,1875.300048828125
1992-02-03,18.2,1857.0
1992-02-04,17.96,1856.5
1992-02-05,18.22,1865.800048828125
1992-02-06,18.79,1860.5999755859375
1992-02-07,18.51,1861.5999755859375
1992-02-10,18.56,1865.5999755859375
1992-02-11,17.7,1864.0999755859375
1992-02-12,17.37,1861.5999755859375
1992-02-13,17.45,1876.5
1992-02-14,17.03,1865.0999755859375
1992-02-18,18.22,1912.199951171875
1992-02-19,17.16,1915.4000244140625
1992-02-20,16.72,1951.199951171875
1992-02-21,16.87,1962.4000244140625
1992-02-24,17.13,1976.5
1992-02-25,16.35,1953.5
1992-02-26,16.64,1981.300048828125
1992-02-27,16.51,1985.0999755859375
1992-02-28,16.68,1983.4000244140625
1992-03-02,16.88,1979.699951171875
1992-03-03,17.26,1983.800048828125
1992-03-04,17.89,1988.0999755859375
1992-03-05,18.47,1973.0
1992-03-06,19.75,1966.9000244140625
1992-03-09,19.68,1976.300048828125
1992-03-10,18.68,1993.9000244140625
1992-03-11,19.79,1968.0
1992-03-12,19.72,1941.800048828125
1992-03-13,18.35,1947.0999755859375
1992-03-16,18.46,1929.199951171875
1992-03-17,16.79,1943.5999755859375
1992-03-18,16.69,1928.199951171875
1992-03-19,16.52,1922.0
1992-03-20,16.82,1919.0999755859375
1992-03-23,16.73,1884.5999755859375
1992-03-24,16.32,1896.300048828125
1992-03-25,16.19,1928.300048828125
1992-03-26,16.29,1934.800048828125
1992-03-27,16.02,1923.5
1992-03-30,15.97,1943.800048828125
1992-03-31,16.18,1942.4000244140625
1992-04-01,16.48,1928.0999755859375
1992-04-02,17.06,1942.0
1992-04-03,16.72,1942.699951171875
1992-04-06,16.72,1974.800048828125
1992-04-07,18.81,1975.4000244140625
1992-04-08,20.15,1907.5
1992-04-09,17.89,1943.5999755859375
1992-04-10,16.85,1974.0999755859375
1992-04-13,16.99,1963.300048828125
1992-04-14,15.98,1972.300048828125
1992-04-15,15.15,1990.699951171875
1992-04-16,14.85,1978.199951171875
1992-04-21,16.53,1980.4000244140625
1992-04-22,15.96,1983.699951171875
1992-04-23,15.83,1978.0999755859375
1992-04-24,15.71,1984.9000244140625
1992-04-27,16.49,1995.699951171875
1992-04-28,16.24,2006.5999755859375
1992-04-29,15.95,2036.699951171875
1992-04-30,15.53,2031.0999755859375
1992-05-04,16.92,2041.5999755859375
1992-05-05,16.66,2046.9000244140625
1992-05-06,16.81,2047.199951171875
1992-05-07,16.54,2063.39990234375
1992-05-11,15.17,2077.5
1992-05-12,15.68,2063.60009765625
1992-05-13,15.19,2053.199951171875
1992-05-14,15.49,2017.0
1992-05-15,14.82,2024.0
1992-05-18,14.62,2051.60009765625
1992-05-19,13.57,2023.0999755859375
1992-05-20,13.62,2030.800048828125
1992-05-21,13.92,2016.800048828125
1992-05-22,13.73,2045.0999755859375
1992-05-26,14.92,2029.5999755859375
1992-05-27,13.99,2014.0999755859375
1992-05-29,13.86,2033.300048828125
1992-06-01,14.43,2017.4000244140625
1992-06-02,14.57,2024.9000244140625
1992-06-03,14.35,1992.5999755859375
1992-06-04,13.66,1994.9000244140625
1992-06-05,14.65,1981.5999755859375
1992-06-09,15.97,1962.199951171875
1992-06-10,16.62,1953.699951171875
1992-06-11,16.29,1928.800048828125
1992-06-12,14.95,1928.300048828125
1992-06-15,14.76,1918.0999755859375
1992-06-16,15.22,1931.4000244140625
1992-06-17,18.08,1908.800048828125
1992-06-18,18.2,1891.800048828125
1992-06-19,16.31,1913.9000244140625
1992-06-22,16.66,1885.800048828125
1992-06-23,14.53,1895.800048828125
1992-06-24,14.4,1899.5999755859375
1992-06-25,14.4,1920.300048828125
1992-06-26,14.67,1915.300048828125
1992-06-29,13.21,1907.300048828125
1992-06-30,13.35,1900.5999755859375
1992-07-01,13.34,1880.9000244140625
1992-07-02,13.88,1873.5
1992-07-06,14.87,1868.5
1992-07-07,15.83,1879.0999755859375
1992-07-08,15.53,1847.800048828125
1992-07-09,14.6,1861.800048828125
1992-07-10,13.7,1859.4000244140625
1992-07-15,12.52,1853.300048828125
1992-07-16,12.27,1851.199951171875
1992-07-17,12.6,1801.800048828125
1992-07-20,12.66,1767.9000244140625
1992-07-21,12.6,1762.699951171875
1992-07-22,13.57,1727.5
1992-07-23,13.33,1734.5999755859375
1992-07-24,13.37,1734.5999755859375
1992-07-27,13.9,1755.4000244140625
1992-07-28,13.05,1769.0
1992-07-29,13.44,1801.5999755859375
1992-07-30,13.5,1782.5999755859375
1992-07-31,13.17,1754.699951171875
1992-08-03,13.83,1784.4000244140625
1992-08-04,13.58,1787.5999755859375
1992-08-05,13.82,1798.0
1992-08-06,14.23,1793.800048828125
1992-08-07,13.94,1777.300048828125
1992-08-10,14.51,1755.199951171875
1992-08-11,15.09,1737.800048828125
1992-08-12,14.88,1730.0999755859375
1992-08-13,15.34,1722.4000244140625
1992-08-14,14.66,1753.5
1992-08-17,14.61,1757.300048828125
1992-08-18,13.84,1736.699951171875
1992-08-19,14.35,1734.199951171875
